"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Psma7.1",1.87046548855899e-51,-0.470696834381665,0.298,0.576,2.70431900335858e-47,"2","Psma7"
"Pgk1.1",2.32622200930614e-51,-0.513446743929146,0.183,0.447,3.36325178105482e-47,"2","Pgk1"
"Ptbp1.1",2.98801464318526e-51,-0.44077592740453,0.376,0.644,4.32007157111724e-47,"2","Ptbp1"
"Lcp1.2",3.87043012840739e-51,-0.3680184820511,0.921,0.956,5.5958678796514e-47,"2","Lcp1"
"Naa50.1",3.90052565072158e-51,-0.493282012170923,0.216,0.484,5.63937998581326e-47,"2","Naa50"
"Rad21.2",6.4853499612311e-51,-0.565790801406511,0.396,0.624,9.37651897394793e-47,"2","Rad21"
"Pola1.1",1.28599778670806e-50,-0.46118813892763,0.075,0.317,1.85929560002251e-46,"2","Pola1"
"Alyref.1",1.76727295152102e-50,-0.461317386388074,0.115,0.365,2.55512323330908e-46,"2","Alyref"
"Hnrnpl.1",2.03924580943635e-50,-0.421758372842658,0.517,0.732,2.94834159128308e-46,"2","Hnrnpl"
"Cdk1.2",2.28697157054184e-50,-0.462448930053565,0.022,0.23,3.30650349668939e-46,"2","Cdk1"
"Cdc20.2",3.33694778585849e-50,-0.501177470546171,0.009,0.209,4.8245591087942e-46,"2","Cdc20"
"Cct4",3.38056484734651e-50,-0.46616919784062,0.39,0.638,4.88762065629359e-46,"2","Cct4"
"Hspa4",3.49873413402547e-50,-0.47301617438265,0.374,0.634,5.05846981097402e-46,"2","Hspa4"
"Pcbp1",3.64575195068314e-50,-0.473476119468603,0.352,0.611,5.27102817029768e-46,"2","Pcbp1"
"Ppat",3.65963253735713e-50,-0.472654590294656,0.11,0.362,5.29109672251094e-46,"2","Ppat"
"Banf1",5.02722162192458e-50,-0.479252765275441,0.171,0.432,7.26835702097856e-46,"2","Banf1"
"Fkbp4",7.05130542104587e-50,-0.513936728733472,0.282,0.544,1.01947773777481e-45,"2","Fkbp4"
"Mthfd1.1",8.25611906526261e-50,-0.554382746909985,0.111,0.35,1.19366969445567e-45,"2","Mthfd1"
"Sae1.1",1.35479312570917e-49,-0.497422565115365,0.191,0.448,1.95875990115032e-45,"2","Sae1"
"Atad5.1",2.07254083022702e-49,-0.439573600321111,0.028,0.239,2.99647953234222e-45,"2","Atad5"
"Psmd1.1",2.34142156179458e-49,-0.499314060260762,0.234,0.496,3.38522729404261e-45,"2","Psmd1"
"Spag5.2",2.35324056293994e-49,-0.421427034224833,0.007,0.202,3.40231520589856e-45,"2","Spag5"
"P4hb.1",2.40581328660834e-49,-0.458464004680222,0.349,0.612,3.47832484977834e-45,"2","P4hb"
"Il18r1.1",2.63489761603268e-49,0.562636365575865,0.328,0.141,3.80953497326004e-45,"2","Il18r1"
"Ak2.1",2.77267307526219e-49,-0.475692038426063,0.183,0.443,4.00873073221407e-45,"2","Ak2"
"Hjurp.2",3.02499317961553e-49,-0.564422006077474,0.232,0.489,4.37353513908814e-45,"2","Hjurp"
"Psma6.1",3.33973304857635e-49,-0.464204269602118,0.344,0.597,4.82858604163168e-45,"2","Psma6"
"Cit.2",4.20906043975561e-49,-0.446776267758834,0.013,0.212,6.08545958379866e-45,"2","Cit"
"Hsp90b1.2",4.35378199742837e-49,-0.508569153273197,0.545,0.739,6.29469801188193e-45,"2","Hsp90b1"
"Pmf1.1",5.60761477913216e-49,-0.426421726898004,0.052,0.273,8.10748944766927e-45,"2","Pmf1"
"Nup205",6.96094579613215e-49,-0.446915662711322,0.123,0.374,1.00641354320479e-44,"2","Nup205"
"Plk4.2",7.08434023696355e-49,-0.414117621107267,0.025,0.231,1.02425391146019e-44,"2","Plk4"
"Cep55.2",1.10246398671294e-48,-0.402713853093453,0.009,0.203,1.59394243198957e-44,"2","Cep55"
"E2f8.2",1.1581870017076e-48,-0.431607338896872,0.007,0.2,1.67450676706885e-44,"2","E2f8"
"Nans.1",1.19049956988843e-48,-0.473253803989611,0.196,0.46,1.72122427814469e-44,"2","Nans"
"Hmgb1.2",1.25411822808193e-48,-0.478498094040963,0.141,0.389,1.81320413416086e-44,"2","Hmgb1"
"Psmb7.1",1.33135498780483e-48,-0.448206170807377,0.146,0.401,1.92487304136822e-44,"2","Psmb7"
"Parp1",1.38415415557279e-48,-0.485130988748599,0.259,0.524,2.00121007812714e-44,"2","Parp1"
"Smarcc1",1.41348518862825e-48,-0.498254112034905,0.286,0.541,2.04361688571873e-44,"2","Smarcc1"
"Umps",2.22271073021144e-48,-0.464255725132487,0.096,0.338,3.21359517373969e-44,"2","Umps"
"Lpar6",2.23606068682203e-48,0.324203222613811,0.141,0.029,3.23289654100728e-44,"2","Lpar6"
"Mxd3.2",2.37515136987034e-48,-0.464114634364884,0.009,0.201,3.43399385055854e-44,"2","Mxd3"
"Nek2.2",3.1299495684565e-48,-0.418235296409602,0.009,0.203,4.52528108607441e-44,"2","Nek2"
"Dnajc9.1",4.24626244488516e-48,-0.488715677159023,0.225,0.485,6.13924624281497e-44,"2","Dnajc9"
"Hsph1.1",4.67086510882465e-48,-0.555311021611356,0.224,0.485,6.75313677433868e-44,"2","Hsph1"
"Sept11.2",4.93613889839141e-48,-0.491888610994575,0.168,0.422,7.1366696192943e-44,"2","Sept11"
"Tagln2.2",7.49232159344166e-48,-0.53124575956305,0.216,0.471,1.0832398559798e-43,"2","Tagln2"
"Fgl2.1",8.96539735246043e-48,0.571073427544355,0.263,0.097,1.29621714921873e-43,"2","Fgl2"
"Pfn1",1.09837650478556e-47,-0.334615995988667,0.775,0.896,1.58803275061896e-43,"2","Pfn1"
"Hmgn1",1.32827673648646e-47,-0.47594846787999,0.111,0.348,1.92042250561212e-43,"2","Hmgn1"
"Akap13.1",1.65963240336267e-47,0.428314567810597,0.819,0.709,2.39949652878175e-43,"2","Akap13"
"Brca1",1.89592691472328e-47,-0.449176841557812,0.019,0.216,2.74113113330691e-43,"2","Brca1"
