"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Nsg2",1.13302482785591e-102,0.381256904447906,0.427,0.268,1.63812729611407e-98
"Ddx3x",1.35946136589256e-102,-0.297847290326339,0.452,0.63,1.96550924280746e-98
"Nop56",1.80019512308485e-102,-0.3247717556176,0.209,0.37,2.60272210895608e-98
"Sf3b3",2.44141463577507e-102,-0.262039345026205,0.261,0.444,3.52979728040359e-98
"Tuba1a",2.74110566361603e-102,-0.276118263067422,0.158,0.31,3.96309056845606e-98
"Calm2",4.76451299983723e-102,-0.278508070014045,0.242,0.414,6.88853289516467e-98
"Lman2",1.20971514717184e-101,-0.251260973710965,0.22,0.393,1.74900615978105e-97
"Psmd8",1.48843930868651e-101,-0.252057926671006,0.196,0.362,2.15198555249896e-97
"Tecpr1",1.9528651648659e-101,0.441565870422364,0.432,0.29,2.82345245536311e-97
"Cox4i1",2.0309612811059e-101,-0.252114491535062,0.678,0.805,2.93636382022291e-97
"Npm3",2.90199681237784e-101,-0.251256204503182,0.127,0.268,4.19570699133589e-97
"Reep5",4.17469626519357e-100,-0.25382320848789,0.245,0.422,6.03577586021687e-96
"Arf1",1.21769984870922e-99,-0.264107016270969,0.282,0.463,1.76055044126379e-95
"Oxsr1",2.40810958446857e-99,-0.285972982872116,0.129,0.27,3.48164483722465e-95
"Pitpna",3.83835008256048e-99,-0.275807046158473,0.421,0.603,5.54948654936594e-95
"Hist1h1c",9.55308848005489e-99,-0.312894830798441,0.111,0.237,1.38118553244634e-94
"Cd96",1.07303203490728e-98,0.396164140648912,0.415,0.268,1.55138971606894e-94
"Arl6ip1",1.28467272214034e-98,-0.453459815991858,0.513,0.656,1.85737982167051e-94
"Chchd2",1.28572254994977e-98,-0.273232270072656,0.312,0.492,1.85889766271738e-94
"Itgae",1.0090044041627e-97,-0.502606912284007,0.115,0.24,1.45881856753843e-93
"Gpr83",1.3547540210865e-97,0.456312787555949,0.339,0.188,1.95870336368686e-93
"Cyba",1.89351853963691e-97,-0.280146966505162,0.496,0.673,2.73764910460704e-93
"Sell",2.21199048293467e-96,0.306478690585283,0.745,0.613,3.19809584022694e-92
"Hn1",2.23499248851398e-96,-0.286323431304657,0.307,0.485,3.23135213989352e-92
"Snx2",2.56628105300785e-96,-0.256243615245657,0.157,0.305,3.71032914643875e-92
"Map4",3.964141835346e-96,-0.259032251307409,0.247,0.421,5.73135626554325e-92
"Cnot6",9.79788270121733e-96,-0.273041608517889,0.308,0.488,1.416577880942e-91
"Arpc3",1.23147688997268e-95,-0.274731546457052,0.34,0.519,1.7804692875225e-91
"Nr4a1",1.91565261656597e-95,-0.466022795507462,0.04,0.127,2.76965055303107e-91
"Capza2",2.49387097530436e-95,-0.26604471521055,0.277,0.449,3.60563865609504e-91
"Heatr1",2.54126137483424e-95,-0.303003869905745,0.172,0.321,3.67415569573534e-91
"Cox7b",2.22427016639326e-94,-0.254124603942728,0.284,0.461,3.21584980657138e-90
"Eif3d",2.5556268077006e-94,-0.286587659014702,0.367,0.542,3.69492523857353e-90
"Xrn2",4.63232426576857e-94,-0.25507971158754,0.331,0.514,6.6974144234482e-90
"Zap70",2.25685273833881e-93,-0.287119779869798,0.385,0.567,3.26295768909025e-89
"Rcc2",2.87647380441023e-93,-0.26209537521055,0.233,0.398,4.15880582641631e-89
"Esyt1",2.00476614303621e-92,-0.27163747083821,0.314,0.491,2.89849088960175e-88
"Spn",3.76821511628414e-92,-0.332520587034029,0.651,0.771,5.44808541512361e-88
"Cab39",3.91564560149548e-92,-0.276856812450648,0.354,0.535,5.66124041064216e-88
"Mtdh",5.47724531591444e-92,-0.255124000824087,0.266,0.439,7.9190012777491e-88
"Cd28",7.2461489005256e-92,-0.260407347984249,0.305,0.482,1.04764820803799e-87
"Ranbp2",3.57813653344844e-91,-0.258530083353163,0.385,0.566,5.17326980005976e-87
"Gm26917",5.92957997404508e-91,0.378947872214798,0.705,0.641,8.57298672647437e-87
"Mapk1",8.77308066954736e-91,-0.253419710474532,0.322,0.502,1.26841200320316e-86
"Btf3",3.1400351693538e-90,-0.263797282738143,0.325,0.499,4.53986284785172e-86
"Timp2",3.17584151814303e-89,-0.273636024459406,0.12,0.246,4.59163166693119e-85
"Gnas",4.61667421428768e-89,-0.257568724048589,0.699,0.808,6.67478757901713e-85
"Picalm",1.13029039425307e-88,-0.32169755652843,0.296,0.458,1.63417385201109e-84
"U2af2",1.49891921029202e-87,-0.250689613447539,0.264,0.428,2.1671373942402e-83
"Smarca4",2.84667034159013e-87,-0.259854237687346,0.309,0.484,4.11571597987101e-83
"Hcls1",4.39658643742379e-87,-0.257409517496571,0.45,0.624,6.35658467122731e-83
"Cct4",9.44573053300589e-87,-0.288952082948346,0.432,0.59,1.36566372046199e-82
"Adam19",1.46192021801929e-86,-0.272528418001223,0.193,0.343,2.1136442512123e-82
"Nfatc1",1.95967052459124e-86,-0.255324774347116,0.188,0.338,2.83329164445401e-82
"Cdc37",5.58186288248332e-85,-0.255998384998482,0.433,0.603,8.07025735549439e-81
"Cnbp",5.65837758034398e-85,-0.292190606538375,0.562,0.702,8.18088230566132e-81
"Atp5j2",7.36516713889764e-85,-0.253952927622243,0.388,0.557,1.06485586494182e-80
"Arf6",2.29990382843508e-84,-0.254529899918726,0.465,0.634,3.32520095515144e-80
"Ubb",2.42908100161074e-84,-0.275754745389712,0.449,0.617,3.51196531212881e-80
"Gm15564",1.42224461759455e-83,0.266848498935648,0.88,0.868,2.05628126811821e-79
"Igf2r",1.02078487122131e-82,0.342913344299245,0.597,0.484,1.47585076681178e-78
"Mybbp1a",2.95631067407657e-81,-0.390706120671578,0.332,0.474,4.2742339725799e-77
"Gm14446",7.42437488746571e-81,0.378589996402205,0.168,0.06,1.07341612122979e-76
"Psmb1",1.61151938229092e-79,-0.257930364891287,0.442,0.602,2.32993472291622e-75
"Satb1",5.41872757031661e-79,0.363574577569414,0.421,0.284,7.83439632116376e-75
"Ms4a6b",2.84775212291458e-78,0.276105758931291,0.708,0.622,4.1172800193099e-74
"Gnai2",6.20773929181646e-78,-0.255147376795354,0.816,0.867,8.97514946810823e-74
"Kcnab2",1.50058348329986e-77,-0.263530108219366,0.333,0.49,2.16954360015493e-73
"Utrn",3.77071551235528e-77,0.369599410517345,0.549,0.439,5.45170048776326e-73
