"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","otherlog"
"Flii",0.0650590448879503,-0.00925752498519328,0.504,0.592,1,-0.0175091
"Dus2l",0.0650763158401678,0.0761692461261152,0.167,0.145,1,NA
"Acp6",0.0652256386553092,-0.0104739986355033,0.082,0.107,1,0.442548
"Gucd1",0.0655596523204026,0.0969228951858786,0.188,0.165,1,0.574422
"Ddx59",0.0655985487392436,-0.0174477601045673,0.085,0.109,1,0.135931
"Ormdl3",0.0656559728190341,-0.0201688647515208,0.125,0.154,1,0.222219
"Rhno1",0.0657400080865696,-0.010197775880145,0.155,0.189,1,-0.171667
"Hadhb",0.0658625891378635,-0.00108331746490076,0.155,0.19,1,0.237917
"Setd1b",0.0658902502778942,0.079658977044081,0.107,0.088,1,0.20971
"Cry1",0.0659743567185609,0.00154707829086315,0.187,0.225,1,-0.476258
"Glipr2",0.0660942658909905,0.110617362161168,0.506,0.515,1,-0.212707
"Ankrd37",0.0662790660854081,0.115272244067034,0.239,0.22,1,0.143626
"Inpp5d",0.0663087406211756,0.0207514355310439,0.26,0.309,1,0.039315
"Tbxa2r",0.066342125229369,0.0976719837151059,0.163,0.141,1,0.612538
"2010012O05Rik",0.0665270738690184,-0.0299897571103476,0.084,0.106,1,NA
"Nr3c1",0.066540247232584,0.135990428571654,0.36,0.349,1,0.320247
"Pif1",0.066540276041677,-0.0194381065116229,0.081,0.104,1,-0.356276
"Abtb2",0.0665907949407807,-0.0255364726969468,0.13,0.159,1,-0.115972
"Scyl2",0.0666794272068651,-0.000154828288208342,0.239,0.284,1,-0.268194
"Pan2",0.0668211034908039,0.0760670913690233,0.13,0.109,1,0.357209
"Mink1",0.066838307647505,0.0150302706602876,0.125,0.156,1,-0.0152525
"Neu3",0.0669528757678529,-0.00919160860831683,0.118,0.145,1,0.564217
"Apaf1",0.0669685625491614,-0.0241719714690688,0.379,0.441,1,-0.668041
"Tsc2",0.0670044783167695,-0.0298242195503091,0.158,0.188,1,-0.142961
"Zbtb43",0.067064995485963,-0.0109411428681315,0.094,0.121,1,0.0324727
"Kptn",0.0671263440707988,-0.000853112031849151,0.145,0.176,1,0.369794
"Pdcd7",0.0671479228764251,0.00968085332060609,0.13,0.16,1,-0.0286179
"Vps37a",0.0672302850192547,0.0231703171930108,0.121,0.154,1,-0.238859
"Eps15",0.0674288993460476,0.0133207129371335,0.443,0.528,1,-0.00435585
"Lztfl1",0.0674553136430208,-0.015089360292488,0.09,0.115,1,1.24117
"Gtpbp1",0.0675628989890441,-0.00621774243268014,0.375,0.445,1,-0.237822
"Mapkapk5",0.0676063355278242,-0.0199266668276702,0.184,0.217,1,-0.474305
"5730455P16Rik",0.0676317688818659,-0.00813402115807169,0.099,0.125,1,-0.223313
"Bre",0.0676748883684381,0.000128523136618486,0.203,0.241,1,NA
"Fbxw5",0.0677224929901645,-0.00540409749823265,0.148,0.182,1,0.362322
"Strn4",0.068037424601474,-0.0276587839472531,0.194,0.227,1,-0.652666
"Elp4",0.068066691185242,-0.00617622859531869,0.122,0.152,1,-0.0617398
"Sema4a",0.0681638358045847,0.0517139908011223,0.11,0.09,1,0.27573
"Tspan5",0.0682044223323796,-0.0125661331244132,0.155,0.188,1,-0.161653
"Ttc3",0.0682433619202809,0.124160937762048,0.537,0.561,1,0.812999
"4922501C03Rik",0.0683407498486476,-0.00903669512629673,0.116,0.146,1,NA
"Rnf139",0.0684093280993998,-0.00735202369497084,0.242,0.285,1,-0.0329638
"2210018M11Rik",0.0685097278512535,0.0136667461860777,0.173,0.211,1,NA
"Susd3",0.0685407012670185,-0.0253950546525003,0.194,0.23,1,1.83549
"Ndfip2",0.0685450981793408,-0.00545271543778025,0.301,0.355,1,0.390878
"Kif3b",0.0687413305522241,-0.0109803113632932,0.251,0.291,1,0.296122
"Wdr7",0.0687492641394806,0.0111933120363967,0.169,0.206,1,-0.141349
"Stxbp5",0.0687521464663931,0.0263740385408467,0.254,0.308,1,-0.433597
"Dscr3",0.0688128420180014,-0.006871000999226,0.267,0.317,1,NA
"Fbxl3",0.0689407493607492,0.104093826211182,0.361,0.346,1,0.0564749
"Atrip",0.0689966846194393,-0.0321990550322929,0.121,0.149,1,-0.00935993
"Vezf1",0.0690152539927974,0.139845233891403,0.313,0.301,1,-0.0765406
"Dnajc3",0.0691934985168976,-0.0149629941640907,0.57,0.656,1,-0.303452
"Prkx",0.0695609775158683,0.0800306328169318,0.142,0.122,1,-0.367678
"Rcan3",0.0695804011942496,-0.0176357004629784,0.145,0.174,1,-0.897257
"Poli",0.0697457811374249,-0.0279473095882554,0.121,0.149,1,-0.00357889
"Rnf115",0.0697602697878767,0.00729893752810329,0.351,0.414,1,-0.183749
"Acot8",0.0701950197984414,-0.0226427910042175,0.14,0.171,1,0.372113
"Usp24",0.0701978211081201,-0.00541230030235063,0.537,0.617,1,0.195476
"Spop",0.070250425295282,0.0016687694206281,0.354,0.415,1,0.222923
"Yipf3",0.070478619940122,0.111712348087817,0.339,0.328,1,0.47758
"Pet100",0.0706012434781679,-0.0323097445477296,0.166,0.197,1,0.973379
"Pum2",0.0706143807634741,0.0878398116645052,0.682,0.704,1,-0.0502778
"Cdk13",0.0706599186560216,0.016706953306398,0.416,0.499,1,-0.192542
"Zmynd8",0.0707619104086269,0.0199379588485036,0.313,0.37,1,0.687936
"Cit",0.0708176026215668,0.00909770614509453,0.219,0.259,1,-0.254195
"Zfp266",0.0708693737797881,0.00401281224156308,0.213,0.255,1,-0.538395
"Ccdc12",0.0708810377042893,-0.0259550993307794,0.136,0.165,1,0.55193
"Oard1",0.0709358146690368,-0.00583543480089527,0.184,0.22,1,-0.0476236
"Ube2s",0.0711433266530031,-0.0208346477209284,0.094,0.118,1,-0.614799
"AI467606",0.0713274707321851,0.112404760119926,0.331,0.314,1,0.456891
"Traf5",0.0714489982635474,0.061679617041889,0.118,0.098,1,-0.0106866
"Gclc",0.0714726120632458,0.0102346191799562,0.251,0.294,1,-0.577927
"Hif1an",0.0716781961544112,-0.00225715559649009,0.161,0.194,1,-0.163497
"Irf2bpl",0.0717015771303405,0.0244059426146311,0.136,0.169,1,-0.22901
"Pmepa1",0.0717332590200624,-0.0146103774483938,0.148,0.181,1,2.77099
"Vav3",0.0719938002591946,-0.0289096907050012,0.122,0.15,1,-0.52742
"Psme2b",0.0720829767156221,-0.0280699868977738,0.087,0.11,1,0.251413
"Arfgap2",0.0720874620699335,-0.0188358344326711,0.248,0.291,1,0.312391
"H2-DMa",0.072192892714027,0.0903586959069014,0.282,0.261,1,2.02984
"Trim26",0.0723728530207316,0.134676918795262,0.24,0.221,1,-0.0654062
"Acyp1",0.0725298474323658,0.0517183101159409,0.118,0.096,1,0.922397
"Mbd6",0.0725614367467818,0.0626820020999601,0.106,0.086,1,-0.14747
"Sqstm1",0.0726018489917981,-0.010364175018819,0.47,0.549,1,0.389634
"Trim39",0.0726167540587122,0.106697992389496,0.122,0.103,1,0.159688
"Cdk9",0.0726791981996539,-0.0121465744740927,0.213,0.251,1,-0.3176
"Zswim6",0.0727257192247511,0.0772374492077012,0.107,0.089,1,0.0766103
"Wsb1",0.0727775041744185,-0.0153514831718453,0.222,0.263,1,-0.212423
"Spice1",0.0730075668518146,0.0779044848342301,0.161,0.14,1,0.553013
"Polr3c",0.0730826707712051,-0.00190951792603766,0.39,0.45,1,0.172204
"Agtrap",0.0730910106995091,0.0832684078910926,0.17,0.149,1,0.507289
"Egln3",0.0730985605881624,0.0116256016299984,0.182,0.22,1,-0.19837
"Rbl2",0.0731940137843457,-0.0356828934054942,0.428,0.492,1,0.026714
"Ids",0.0732064923091876,0.0571529337323863,0.128,0.107,1,0.00544561
"Bud13",0.0733136281496971,-0.0122965946574319,0.081,0.104,1,-0.371361
"Pigp",0.0735493096430856,-0.00375966359945859,0.109,0.138,1,1.0993
"Zcchc2",0.0735641211013899,0.0226993657838497,0.188,0.228,1,-1.02143
"Casc3",0.0739631958434806,-0.0106333625411892,0.293,0.34,1,-0.164794
"Efr3a",0.0740675937126075,0.10123983650727,0.546,0.563,1,0.0334866
"Krcc1",0.0743072699095462,-0.0176432051156132,0.242,0.283,1,0.55745
"Orc5",0.0743492352742417,0.015563590412118,0.148,0.182,1,-0.00744776
"Dazap2",0.0744373109094809,0.0659000405054684,0.701,0.735,1,-0.0812646
